playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Chovy,9.5336,438.4506,0,1,-187,0,-277
VicLa,9.7978,707.3095,0,1,-406,0,-73
Larssen,8.1566,370.5053,2,0,-282,1,506
Bjergsen,11.6432,307.6682,0,0,392,0,46
ShowMaker,8.3547,609.2691,4,0,636,1,734
Nisqy,7.7927,428.4566,1,2,-1406,0,-1448
Larssen,9.1606,1090.4789,1,0,1280,0,1125
Karis,8.7028,301.7734,1,1,-124,0,-2148
Bdd,9.0534,238.1756,0,1,-223,0,-249
Maple,8.8841,397.0815,3,2,-1096,1,-85
nukeduck,9.2567,312.9669,0,2,-598,0,-1998
Jensen,9.4335,790.303,1,1,93,0,-291
SeTab,8.9226,794.1751,1,0,280,1,617
Nisqy,9.0167,414.4869,1,2,533,1,1253
FATE,9.4737,484.7368,0,0,770,0,723
Abbedagge,8.4359,436.4148,0,1,-389,0,-644
Ablazeolive,9.393,593.7125,0,1,-261,0,412
jojopyun,7.2013,243.75,1,1,-94,0,-171
Maple,9.1349,474.9481,0,0,-441,0,-160
Bjergsen,10.1563,294.9218,1,0,1273,0,813
VicLa,8.2218,668.3168,0,1,-78,1,-45
ShowMaker,6.9814,571.9149,0,2,-1184,0,-1122
Chovy,9.6186,434.7595,0,0,162,0,438
Bjergsen,8.4807,857.3204,0,1,52,0,-293
Blue,9.2541,585.1262,2,0,828,0,538
Larssen,9.7845,592.8012,1,0,1165,1,1542
Clozer,9.5186,344.3764,0,0,215,1,321
Aria,7.7412,710.2393,0,1,-1018,0,-715
Abbedagge,6.9,666.5333,0,1,120,0,3
FATE,9.2677,687.7071,0,0,-404,0,111
Ablazeolive,7.8543,579.1093,0,0,-181,0,-87
FATE,9.8746,450.837,1,0,-127,0,-22
Clozer,9.0707,365.6172,0,0,-208,1,-868
Sertuss,8.3325,303.8228,0,1,-691,0,-351
Zeka,9.072,985.008,1,1,-446,0,-80
NUCLEARINT,8.4333,217.1,0,0,-58,0,-566
Lava,9.9569,819.8922,0,0,25,0,-139
PowerOfEvil,8.5633,303.9106,0,0,764,1,424
Karis,7.0121,250.419,0,1,267,0,-1001
jojopyun,8.3026,984.0221,0,1,-396,0,-665
Bdd,8.832,394.88,1,0,-589,0,-108
